"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:16:19.3770548 PM","hehda.exe","2520","CreateFile","C:\RECYCLER","NAME COLLISION","Desired Access: Generic Write, Disposition: Create, Options: Directory, Attributes: HS, ShareMode: Read, Write, Delete, AllocationSize: 0"
"8:16:19.3770971 PM","hehda.exe","2520","TCP Disconnect","VM-XP-Test.home:1226 -> 50.22.196.70-static.reverse.softlayer.com:http","SUCCESS","Length: 0"
"8:16:19.3785407 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500","NAME COLLISION","Desired Access: Generic Write, Disposition: Create, Options: Directory, Attributes: HS, ShareMode: Read, Write, Delete, AllocationSize: 0"
"8:16:19.3786343 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357","SUCCESS","Desired Access: Generic Write, Disposition: OpenIf, Options: Directory, Synchronous IO Non-Alert, Attributes: HS, ShareMode: Read, Write, Delete, AllocationSize: 0, OpenResult: Created"
"8:16:19.3828909 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1229 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.3860719 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1231 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.3944578 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\L","SUCCESS","Desired Access: Generic Write, Disposition: OpenIf, Options: Directory, Attributes: HS, ShareMode: None, AllocationSize: 0, OpenResult: Created"
"8:16:19.3950640 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\U","SUCCESS","Desired Access: Generic Write, Disposition: OpenIf, Options: Directory, Attributes: HS, ShareMode: None, AllocationSize: 0, OpenResult: Created"
"8:16:19.4060669 PM","svchost.exe","1092","UDP Send","VM-XP-Test.home:1039 -> Verizon_router.home:domain","SUCCESS","Length: 43"
"8:16:19.4071634 PM","svchost.exe","1092","UDP Send","VM-XP-Test.home:1227 -> Verizon_router.home:domain","SUCCESS","Length: 44"
"8:16:19.4124651 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\@","SUCCESS","Desired Access: Generic Write, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Attributes: HS, ShareMode: None, AllocationSize: 0, OpenResult: Created"
"8:16:19.4135593 PM","hehda.exe","2520","WriteFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\@","SUCCESS","Offset: 0, Length: 2,048"
"8:16:19.4149457 PM","hehda.exe","2520","CreateFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\n","SUCCESS","Desired Access: Generic Write, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Attributes: HS, ShareMode: None, AllocationSize: 0, OpenResult: Created"
"8:16:19.4152378 PM","hehda.exe","2520","WriteFile","C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\n","SUCCESS","Offset: 0, Length: 28,672"
"8:16:19.4156809 PM","hehda.exe","2520","RegCreateKey","HKCU\Software\Classes\clsid","SUCCESS","Desired Access: All Access, WOW64_64Key"
"8:16:19.4157175 PM","hehda.exe","2520","RegCreateKey","HKCU\Software\Classes\CLSID\{fbeb8a05-beee-4442-804e-409d6c4515e9}","SUCCESS","Desired Access: All Access"
"8:16:19.4169213 PM","hehda.exe","2520","RegCreateKey","HKCU\Software\Classes\CLSID\{fbeb8a05-beee-4442-804e-409d6c4515e9}\InprocServer32","SUCCESS","Desired Access: All Access"
"8:16:19.4170161 PM","hehda.exe","2520","RegSetValue","HKCU\Software\Classes\CLSID\{fbeb8a05-beee-4442-804e-409d6c4515e9}\InprocServer32\ThreadingModel","SUCCESS","Type: REG_SZ, Length: 10, Data: Both"
"8:16:19.4170616 PM","hehda.exe","2520","RegSetValue","HKCU\Software\Classes\CLSID\{fbeb8a05-beee-4442-804e-409d6c4515e9}\InprocServer32\(Default)","SUCCESS","Type: REG_SZ, Length: 184, Data: C:\RECYCLER\S-1-5-21-861567501-412668190-725345543-500\$fab110457830839344b58457ddd1f357\n."
"8:16:19.4270537 PM","hehda.exe","2520","RegDeleteValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\Windows Defender","NAME NOT FOUND",""
"8:16:19.4277141 PM","svchost.exe","1092","UDP Receive","VM-XP-Test.home:1039 -> Verizon_router.home:domain","SUCCESS","Length: 98"
"8:16:19.4292435 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1233 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.4323192 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1235 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.4337679 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1237 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.4358194 PM","hehda.exe","2520","UDP Send","VM-XP-Test.home:1239 -> 83.133.123.20:domain","SUCCESS","Length: 20"
"8:16:19.5277420 PM","svchost.exe","1032","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Epoch\Epoch","SUCCESS","Type: REG_DWORD, Length: 4, Data: 404"
"8:16:19.5289027 PM","svchost.exe","1204","RegCreateKey","HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Epoch","SUCCESS","Desired Access: Notify"
"8:16:19.5293168 PM","svchost.exe","1032","RegCreateKey","HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Epoch","SUCCESS","Desired Access: Notify"
"8:16:19.5299667 PM","svchost.exe","1032","RegCreateKey","HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Epoch","SUCCESS","Desired Access: Notify"
"8:16:19.5389203 PM","svchost.exe","1032","RegCreateKey","HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Epoch","SUCCESS","Desired Access: Notify"
"8:16:19.6018986 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 32"
"8:16:19.6019112 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Start","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"8:16:19.6019343 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\ErrorControl","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"8:16:19.6019897 PM","services.exe","680","RegFlushKey","HKLM\System\CurrentControlSet\Services\SharedAccess","SUCCESS",""
"8:16:19.6023850 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 0, Length: 512, I/O Flags: Non-cached"
"8:16:19.6034166 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.6055904 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 512, Length: 1,536, I/O Flags: Non-cached"
"8:16:19.6060260 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 2,048, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.6066255 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 6,144, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.6071305 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 10,240, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.6076424 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 14,336, Length: 8,192, I/O Flags: Non-cached"
"8:16:19.6081563 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.6112535 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 0, Length: 512, I/O Flags: Non-cached"
"8:16:19.6117019 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.6130654 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.6134450 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 0, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6138497 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.6142082 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 360,448, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6146344 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 0, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6149844 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 4,440,064, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6153439 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 1,572,864, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6475946 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.6480847 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 0, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.6488957 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.6509866 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\DeleteFlag","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"8:16:19.6521492 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Start","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"8:16:19.6682784 PM","svchost.exe","1032","UDP Send","VM-XP-Test.home:1242 -> 239.255.255.250:1900","SUCCESS","Length: 133"
"8:16:19.6687815 PM","svchost.exe","1204","UDP Receive","239.255.255.250:1900 -> localhost:1243","SUCCESS","Length: 133"
"8:16:19.6688006 PM","svchost.exe","1032","UDP Send","localhost:1243 -> 239.255.255.250:1900","SUCCESS","Length: 133"
"8:16:19.6719189 PM","svchost.exe","1092","UDP Send","VM-XP-Test.home:1039 -> Verizon_router.home:domain","SUCCESS","Length: 46"
"8:16:19.6719907 PM","services.exe","680","RegCreateKey","HKLM\System\CurrentControlSet\Control\Class\{8ECC055D-047F-11D1-A537-0000F8753ED1}\0000","SUCCESS","Desired Access: All Access"
"8:16:19.6726677 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Enum\Root\LEGACY_SHAREDACCESS\0000\Driver","SUCCESS","Type: REG_SZ, Length: 88, Data: {8ECC055D-047F-11D1-A537-0000F8753ED1}\0000"
"8:16:19.6736537 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Control\Class\{8ECC055D-047F-11D1-A537-0000F8753ED1}\0000","SUCCESS",""
"8:16:19.6770521 PM","services.exe","680","RegCreateKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Enum","SUCCESS","Desired Access: All Access"
"8:16:19.6772516 PM","services.exe","680","RegDeleteValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Enum\0","SUCCESS",""
"8:16:19.6774310 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Enum\Count","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"8:16:19.6774455 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\SharedAccess\Enum\NextInstance","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"8:16:19.6873846 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Enum\Root\LEGACY_SHAREDACCESS\0000","CANNOT DELETE",""
"8:16:19.6874455 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Enum\Root\LEGACY_SHAREDACCESS\0000\Control","SUCCESS",""
"8:16:19.6875736 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Enum\Root\LEGACY_SHAREDACCESS\0000","SUCCESS",""
"8:16:19.6883167 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Enum\Root\LEGACY_SHAREDACCESS","SUCCESS",""
"8:16:19.7251701 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Epoch","SUCCESS",""
"8:16:19.7267691 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\AuthorizedApplications\List","SUCCESS",""
"8:16:19.7268131 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\AuthorizedApplications","SUCCESS",""
"8:16:19.7268453 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile","SUCCESS",""
"8:16:19.7273427 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\Static\System","SUCCESS",""
"8:16:19.7284614 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices\Static","SUCCESS",""
"8:16:19.7284949 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\RestrictedServices","SUCCESS",""
"8:16:19.7286001 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\AuthorizedApplications\List","SUCCESS",""
"8:16:19.7290408 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile\AuthorizedApplications","SUCCESS",""
"8:16:19.7290750 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\StandardProfile","SUCCESS",""
"8:16:19.7291061 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy","SUCCESS",""
"8:16:19.7291371 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Parameters","SUCCESS",""
"8:16:19.7292081 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Setup\InterfacesUnfirewalledAtUpdate","SUCCESS",""
"8:16:19.7293286 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Setup","SUCCESS",""
"8:16:19.7293954 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess\Enum","SUCCESS",""
"8:16:19.7294344 PM","services.exe","680","RegDeleteKey","HKLM\System\CurrentControlSet\Services\SharedAccess","SUCCESS",""
"8:16:19.7304533 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\wscsvc\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 32"
"8:16:19.7304649 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\wscsvc\Start","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"8:16:19.7307080 PM","services.exe","680","RegSetValue","HKLM\System\CurrentControlSet\Services\wscsvc\ErrorControl","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"8:16:19.7307172 PM","services.exe","680","RegFlushKey","HKLM\System\CurrentControlSet\Services\wscsvc","SUCCESS",""
"8:16:19.7308495 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 0, Length: 512, I/O Flags: Non-cached"
"8:16:19.7314530 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.7497549 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 512, Length: 1,536, I/O Flags: Non-cached"
"8:16:19.7502020 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 2,048, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7508085 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 6,144, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7512269 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 10,240, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7516319 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 14,336, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7520184 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 18,432, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7524301 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 22,528, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7528090 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 26,624, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7546389 PM","svchost.exe","1204","RegCreateKey","HKLM\SYSTEM\CurrentControlSet\Services\SharedAccess\Epoch","NAME NOT FOUND","Desired Access: Notify"
"8:16:19.7546745 PM","svchost.exe","1204","RegCreateKey","HKLM\SYSTEM","SUCCESS","Desired Access: Maximum Allowed"
"8:16:19.7546884 PM","svchost.exe","1204","RegCreateKey","HKLM\SYSTEM\CurrentControlSet","SUCCESS","Desired Access: Maximum Allowed"
"8:16:19.7547175 PM","svchost.exe","1204","RegCreateKey","HKLM\System\CurrentControlSet\Services","SUCCESS","Desired Access: Maximum Allowed"
"8:16:19.7547338 PM","svchost.exe","1204","RegCreateKey","HKLM\System\CurrentControlSet\Services\SharedAccess","ACCESS DENIED","Desired Access: Maximum Allowed"
"8:16:19.7970126 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 30,720, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7975352 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 34,816, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7980102 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 38,912, Length: 8,192, I/O Flags: Non-cached"
"8:16:19.7984871 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 47,104, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7989521 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 51,200, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7994287 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 55,296, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.7998811 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 59,392, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8003682 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 63,488, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8008011 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 67,584, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8210992 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 71,680, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8217318 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 75,776, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8222247 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 79,872, Length: 8,192, I/O Flags: Non-cached"
"8:16:19.8227954 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 88,064, Length: 12,288, I/O Flags: Non-cached"
"8:16:19.8257035 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 100,352, Length: 4,096, I/O Flags: Non-cached"
"8:16:19.8263967 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 104,448, Length: 8,192, I/O Flags: Non-cached"
"8:16:19.8269799 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.8293045 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS","Offset: 0, Length: 512, I/O Flags: Non-cached"
"8:16:19.8297253 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system.LOG","SUCCESS",""
"8:16:19.8308696 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.8312792 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 0, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
"8:16:19.8317184 PM","services.exe","680","FlushBuffersFile","C:\WINDOWS\system32\config\system","SUCCESS",""
"8:16:19.8320947 PM","services.exe","680","WriteFile","C:\WINDOWS\system32\config\system","SUCCESS","Offset: 1,572,864, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O"
